step,loss
0,5.835710
1,4.264393
2,3.900541
3,3.395631
4,3.301554
5,3.359183
6,3.154145
7,2.801525
8,2.670830
9,2.659367
10,2.386765
11,2.238209
12,2.420321
13,2.330761
14,2.259974
15,2.233673
16,2.185730
17,2.162410
18,2.036041
19,2.014944
20,1.734504
21,1.951110
22,1.941775
23,1.953432
24,1.886928
25,1.867799
26,1.830546
27,1.856463
28,1.703190
29,1.752560
30,1.722440
31,1.547710
32,1.693802
33,1.653985
34,1.611953
35,1.515250
36,1.409894
37,1.464816
38,1.520371
39,1.418956
40,1.556240
41,1.462594
42,1.202319
43,1.379045
44,1.411922
45,1.337750
46,1.409670
47,1.341872
48,1.473339
49,1.247830
50,1.231740
51,1.320604
52,1.349033
53,1.143699
54,1.243620
55,1.429068
56,1.232486
57,1.155993
58,1.341527
59,1.199242
60,1.218151
61,1.192858
62,1.148102
63,1.213869
64,1.135216
65,1.189503
66,0.993160
67,1.334456
68,1.016599
69,1.092721
70,1.131439
71,1.015221
72,1.258075
73,1.222481
74,1.035874
75,0.925412
76,0.975654
77,0.993965
78,1.244695
79,1.056312
80,1.139910
81,1.247040
82,0.969795
83,1.233699
84,1.243993
85,1.070088
86,1.005315
87,1.162186
88,1.157127
89,1.049914
90,0.989748
91,1.043145
92,0.856011
93,0.835446
94,0.912829
95,1.003088
96,0.965187
97,1.061330
98,0.952136
99,0.883415
100,0.971872
101,0.946809
102,0.921999
103,1.025003
104,0.874068
105,0.865932
106,0.868920
107,0.876515
108,0.899540
109,0.778868
110,0.778549
111,0.830624
112,0.801549
113,0.812881
114,0.853098
115,0.965847
116,0.872035
117,0.734480
118,0.747365
119,0.781155
120,0.751063
121,0.823627
122,0.771150
123,0.942470
124,0.742402
125,0.909259
126,0.693727
127,0.979909
128,0.627491
129,0.765365
130,0.769990
131,0.830984
132,0.665924
133,0.686582
134,0.668966
135,0.735222
136,0.617071
137,0.928476
138,0.590074
139,0.748113
140,0.704448
141,0.572058
142,0.627092
143,0.663463
144,0.591114
145,0.753488
146,0.629418
147,0.626035
148,0.598645
149,0.666396
150,0.737675
151,0.693003
152,0.556773
153,0.554370
154,0.560329
155,0.574854
156,0.772053
157,0.836519
158,0.570816
159,0.641215
160,0.542942
161,0.785619
162,0.660327
163,0.564462
164,0.669352
165,0.624369
166,0.856078
167,0.446386
168,0.627867
169,0.663928
170,0.609442
171,0.529929
172,0.341433
173,0.550711
174,0.662219
175,0.563282
176,0.505005
177,0.597430
178,0.649671
179,0.665196
180,0.561105
181,0.519159
182,0.505793
183,0.555363
184,0.553399
185,0.608109
186,0.493785
187,0.517855
188,0.632022
189,0.586978
190,0.511003
191,0.525817
192,0.542769
193,0.687523
194,0.519951
195,0.572437
196,0.635024
197,0.558725
198,0.629217
199,0.558445
200,0.662056
201,0.516559
202,0.552047
203,0.445375
204,0.618023
205,0.567604
206,0.562895
207,0.571944
208,0.530456
209,0.541363
210,0.568936
211,0.483376
212,0.514047
213,0.500196
214,0.520730
215,0.352823
216,0.632505
217,0.470206
218,0.572627
219,0.436107
220,0.617037
221,0.425179
222,0.496191
223,0.616398
224,0.507556
225,0.525614
226,0.386983
227,0.555900
228,0.469897
229,0.609103
230,0.479568
231,0.453742
232,0.467284
233,0.434211
234,0.591731
235,0.574384
236,0.426871
237,0.488454
238,0.511268
239,0.378022
240,0.542846
241,0.570542
242,0.391020
243,0.438426
244,0.550467
245,0.508940
246,0.450061
247,0.366171
248,0.350404
249,0.374172
250,0.423563
251,0.486415
252,0.345127
253,0.376073
254,0.463085
255,0.315789
256,0.479980
257,0.350994
258,0.213760
259,0.277974
260,0.451652
261,0.398507
262,0.453180
263,0.271347
264,0.276904
265,0.408149
266,0.258073
267,0.477264
268,0.310358
269,0.479122
270,0.435007
271,0.404763
272,0.415974
273,0.315559
274,0.558242
275,0.327872
276,0.595408
277,0.455484
278,0.430510
279,0.436246
280,0.369482
281,0.501360
282,0.385563
283,0.374701
284,0.395977
285,0.448502
286,0.353391
287,0.425441
288,0.394077
289,0.367368
290,0.408559
291,0.316220
292,0.408829
293,0.310151
294,0.370262
295,0.442533
296,0.374177
297,0.391615
298,0.427721
299,0.401579
300,0.350420
301,0.404629
302,0.308892
303,0.387965
304,0.452857
305,0.397512
306,0.369138
307,0.393022
308,0.383031
309,0.399613
310,0.317262
311,0.305028
312,0.302499
313,0.269496
314,0.265961
315,0.338050
316,0.349778
317,0.466818
318,0.301045
319,0.255094
320,0.510408
321,0.344616
322,0.410154
323,0.330016
324,0.447426
325,0.303008
326,0.429871
327,0.151796
328,0.441549
329,0.369006
330,0.452042
331,0.323877
