step,loss
0,6.045313
1,5.078503
2,5.610055
3,4.528991
4,5.018089
5,4.717134
6,5.742524
7,4.802909
8,4.232593
9,4.168857
10,3.937977
11,4.598559
12,4.014542
13,3.213021
14,4.164015
15,3.378185
16,2.930412
17,3.067104
18,3.257234
19,3.058876
20,2.900186
21,3.067996
22,2.994870
23,2.710065
24,2.636224
26,2.433780
27,2.653073
28,2.316019
29,2.579833
30,2.263587
31,2.263591
32,2.357785
33,2.256842
34,2.133856
35,2.214071
36,2.145362
38,2.179271
39,2.212657
40,1.896108
41,1.977485
42,2.049222
43,1.922107
44,1.847240
45,1.803513
46,1.925347
47,1.724906
48,1.765362
49,1.769958
50,1.715914
51,1.689986
52,1.621481
53,1.413732
54,1.468616
55,1.735831
57,1.536379
58,1.496897
59,1.556168
60,1.769867
61,1.569857
62,1.351266
63,1.632614
64,1.408157
65,1.368556
66,1.496372
67,1.585501
68,1.351974
69,1.437392
70,1.317011
71,1.472915
72,2.043667
73,1.634519
74,1.551828
75,1.565693
76,1.255908
77,1.234066
78,1.391569
79,1.217063
80,1.223330
81,1.183721
82,1.330687
83,1.349871
84,1.234240
85,1.257679
86,1.130485
87,1.252113
88,1.294212
89,1.367367
90,1.213679
91,0.869207
92,1.165844
93,1.154906
94,1.134751
95,1.167173
96,0.977502
97,1.086619
98,1.181064
99,1.235791
100,1.180449
101,1.025666
102,1.114606
103,1.141783
104,1.555486
105,0.951355
106,1.126146
107,0.985987
108,0.965311
109,1.090720
110,0.974159
111,0.623012
112,0.839155
113,0.907069
114,1.020675
115,1.030711
116,0.775879
117,0.723598
118,1.056861
119,0.901146
120,0.804614
121,0.976072
122,1.588813
123,1.015532
124,1.179345
125,1.120157
126,1.076196
127,0.778777
128,0.956116
129,1.032635
130,1.380542
131,0.898013
132,1.469396
133,0.972282
134,0.911103
135,0.826712
136,0.827444
137,0.940865
138,0.921049
139,0.848297
140,0.837210
141,0.911659
142,0.735341
143,0.808089
144,0.665192
145,0.990803
146,0.967517
147,0.800968
148,0.786255
149,0.684152
150,0.807836
151,0.597886
153,0.773745
155,1.063447
156,1.213936
157,0.834561
158,0.739489
159,0.643870
160,0.689949
161,0.566126
162,0.581395
163,0.659526
164,0.798384
165,0.836145
166,0.735090
167,0.674662
168,0.648672
169,0.769528
170,0.530084
171,0.559730
172,0.614953
173,0.468291
174,0.583397
175,0.652032
176,0.572916
177,0.585189
178,0.735842
179,0.745172
180,0.720238
181,0.755430
182,0.716648
183,0.549135
184,1.005216
185,0.545146
