step,loss,time_seconds
0,3.880334,0.07
10,3.351478,0.66
20,3.038376,1.27
30,2.874438,1.87
40,2.772526,2.49
50,2.580128,3.08
60,2.603546,3.70
70,2.533684,4.32
80,2.463654,4.93
90,2.519893,5.53
100,2.506505,6.14
110,2.342783,6.74
120,2.394071,7.35
130,2.448715,7.97
140,2.399765,8.58
150,2.352124,9.19
160,2.282749,9.80
170,2.359171,10.41
180,2.325968,11.02
190,2.311747,11.63
200,2.301457,12.26
210,2.372837,12.87
220,2.299348,13.49
230,2.297272,14.10
240,2.254812,14.71
250,2.305262,15.29
260,2.234861,15.90
270,2.245703,16.51
280,2.239156,17.12
290,2.152553,17.73
300,2.216060,18.34
310,2.209218,18.96
320,2.259834,19.56
330,2.171323,20.16
340,2.129058,20.76
350,2.234708,21.36
360,2.194077,21.95
370,2.162599,22.55
380,2.200727,23.15
390,2.180535,23.76
400,2.134404,24.38
410,2.106121,24.98
420,2.164504,25.60
430,2.096071,26.21
440,2.080940,26.81
450,2.155330,27.42
460,2.146609,28.01
470,2.109656,28.60
480,2.104615,29.19
490,2.122818,29.80
500,2.076738,30.41
510,2.097801,31.01
520,2.087682,31.62
530,2.067367,32.21
540,2.009701,32.83
550,2.032379,33.44
560,2.104458,34.04
570,2.078582,34.64
580,2.080154,35.25
590,1.987295,35.87
600,2.073778,36.48
610,2.004794,37.09
620,1.981409,37.70
630,2.013036,38.30
640,1.992369,38.91
650,1.949449,39.52
660,1.921087,40.13
670,1.971867,40.75
680,1.937776,41.36
690,1.866348,41.96
700,1.892609,42.56
710,1.967708,43.16
720,1.952819,43.77
730,1.930102,44.38
740,1.954084,44.99
750,1.923631,45.60
760,1.863628,46.20
770,1.901339,46.81
780,1.867928,47.41
790,1.788882,48.02
800,1.832803,48.62
810,1.848208,49.22
820,1.859271,49.80
830,1.841915,50.40
840,1.871707,51.01
850,1.741884,51.62
860,1.767035,52.24
870,1.860100,52.86
880,1.757699,53.47
890,1.751277,54.09
900,1.782926,54.70
910,1.768427,55.31
920,1.815060,55.93
930,1.731441,56.54
940,1.761789,57.13
950,1.745474,57.74
960,1.824862,58.36
970,1.729791,58.98
980,1.732138,59.59
990,1.679954,60.20
1000,1.755188,60.82
1010,1.681005,61.43
1020,1.738613,62.06
1030,1.779343,62.66
1040,1.720785,63.26
1050,1.668949,63.88
1060,1.740326,64.49
1070,1.730078,65.09
1080,1.669830,65.69
1090,1.699390,66.31
1100,1.728102,66.91
1110,1.643895,67.52
1120,1.625689,68.13
1130,1.621273,68.74
1140,1.640068,69.35
1150,1.608768,69.96
1160,1.613348,70.59
1170,1.590244,71.19
1180,1.546582,71.80
1190,1.662579,72.39
1200,1.575782,73.02
1210,1.643209,73.64
1220,1.561069,74.25
1230,1.459677,74.86
1240,1.579756,75.48
1250,1.546382,76.09
1260,1.552793,76.71
1270,1.638970,77.33
1280,1.554424,77.95
1290,1.491830,78.57
1300,1.546000,79.19
1310,1.565880,79.81
1320,1.537045,80.43
1330,1.602706,81.06
1340,1.577531,81.68
1350,1.521064,82.29
1360,1.558809,82.90
1370,1.552377,83.50
1380,1.489465,84.12
1390,1.545166,84.72
1400,1.439211,85.33
1410,1.442735,85.94
1420,1.456962,86.57
1430,1.467215,87.18
1440,1.432463,87.80
1450,1.422038,88.42
1460,1.451498,89.03
1470,1.395810,89.65
1480,1.321955,90.27
1490,1.391387,90.90
1500,1.375363,91.52
1510,1.403649,92.14
1520,1.306867,92.75
1530,1.251804,93.36
1540,1.410164,93.98
1550,1.296438,94.60
1560,1.422232,95.23
1570,1.401955,95.85
1580,1.317363,96.47
1590,1.295184,97.08
1600,1.297200,97.71
1610,1.284000,98.33
1620,1.437509,98.96
1630,1.302925,99.58
1640,1.265538,100.19
1650,1.280107,100.81
1660,1.275014,101.43
1670,1.210213,102.04
1680,1.212412,102.66
1690,1.244185,103.29
1700,1.250955,103.92
1710,1.205020,104.55
1720,1.223332,105.17
1730,1.191721,105.79
1740,1.243977,106.41
1750,1.248749,107.05
1760,1.231319,107.67
1770,1.210906,108.29
1780,1.104808,108.91
1790,1.125367,109.52
1800,1.279753,110.14
1810,1.113470,110.76
1820,1.124349,111.38
1830,1.170424,112.01
1840,1.100738,112.64
1850,1.218026,113.28
1860,1.015788,113.91
1870,1.021594,114.53
1880,1.115869,115.14
1890,1.112097,115.75
1900,1.098655,116.37
1910,1.131186,117.00
1920,1.126660,117.62
1930,1.129569,118.25
1940,1.091682,118.88
1950,1.050031,119.51
1960,1.157531,120.15
1970,0.975775,120.78
1980,1.043885,121.40
1990,1.127362,122.03
2000,1.009874,122.65
2010,1.148055,123.27
2020,1.002835,123.90
2030,0.959721,124.51
2040,1.037046,125.13
2050,1.038160,125.75
2060,1.006796,126.38
2070,0.972415,127.00
2080,1.001664,127.64
2090,0.981756,128.27
