step,loss,time_seconds,grad_norm,energy_l0,energy_l1,energy_l2,grad_l0,grad_l1,grad_l2
0,4.261776,0.03,11.331424,0.136364,0.157976,0.190202,6.525720,3.761810,2.665609
10,2.537585,0.71,5.739315,0.134405,0.173289,0.324316,4.249981,1.912901,1.183822
20,2.039120,1.38,3.438299,0.171856,0.222434,0.331964,1.677228,0.860527,0.557128
30,1.849313,2.19,4.284321,0.220283,0.268722,0.358371,2.267682,0.965326,0.503250
40,1.498254,2.93,2.660079,0.185777,0.246965,0.312634,1.529329,0.796049,0.499123
50,1.418418,3.72,2.846229,0.175384,0.213602,0.267013,1.767509,0.684950,0.452673
60,1.243285,4.44,3.085957,0.144700,0.189968,0.238400,1.686023,0.820297,0.424353
70,1.068143,5.18,3.018100,0.155354,0.188787,0.225830,2.097954,0.882343,0.558080
80,1.144572,5.83,4.343042,0.142570,0.181485,0.210257,2.316149,0.804421,0.474295
90,1.176084,6.47,3.412792,0.159776,0.208055,0.233774,2.008470,0.811839,0.391937
100,1.055002,7.18,4.143301,0.168640,0.200816,0.253538,2.146541,0.916769,0.532704
110,0.895623,7.86,4.208311,0.131853,0.169657,0.194290,2.316509,0.834269,0.487373
120,0.970754,8.49,3.629467,0.139046,0.169765,0.190490,2.165040,0.876650,0.429908
130,0.963100,9.10,3.583461,0.137518,0.170062,0.189330,1.997912,0.704642,0.447510
140,0.820804,9.81,4.153733,0.133723,0.158595,0.188020,2.158881,0.655846,0.382100
150,0.760044,10.51,4.016060,0.130202,0.168259,0.199009,2.332424,0.893231,0.511506
160,0.836957,11.23,3.613761,0.135424,0.158598,0.189799,2.046429,0.738551,0.467426
170,0.897797,11.93,4.829923,0.147615,0.170560,0.193961,2.685916,0.975991,0.569786
180,0.608369,12.55,3.669111,0.122879,0.143265,0.165959,1.983755,0.840249,0.458420
190,0.661271,13.25,2.603153,0.122284,0.141246,0.151946,1.546186,0.632435,0.353413
200,0.814887,14.00,4.080534,0.118524,0.144348,0.159776,2.430313,0.947101,0.536710
210,0.666289,14.66,3.960560,0.119172,0.140530,0.147941,2.285824,0.782806,0.484913
220,0.733515,15.49,6.308274,0.107990,0.125013,0.143917,3.755470,1.420067,0.914251
230,0.542252,16.23,2.667688,0.121652,0.154718,0.173946,1.878903,0.614380,0.361040
240,0.496439,16.93,4.878630,0.105424,0.125993,0.131627,2.936643,1.123115,0.501314
250,0.720304,17.57,9.124090,0.127860,0.151742,0.166265,5.390354,1.537746,0.969545
260,0.592354,18.36,3.122134,0.125821,0.153309,0.175032,1.726323,0.673464,0.401294
270,0.589921,19.16,2.639839,0.117617,0.139013,0.147242,1.459593,0.638417,0.354921
280,0.479930,19.95,2.184180,0.097996,0.116943,0.132928,1.377720,0.569025,0.410970
290,0.506888,20.66,3.465932,0.107515,0.127920,0.140934,1.968864,0.921599,0.457000
300,0.419280,21.34,2.770692,0.098043,0.116534,0.138044,1.716121,0.705541,0.425540
310,0.347784,22.06,2.369300,0.108216,0.133810,0.145926,1.476418,0.556646,0.336812
320,0.459134,22.81,3.274841,0.105618,0.130121,0.144486,2.163153,0.792368,0.468879
330,0.453514,23.69,2.249852,0.104466,0.125771,0.139878,1.327521,0.502827,0.272104
340,0.335365,24.39,3.532472,0.109664,0.134288,0.139034,2.055778,0.764275,0.343906
350,0.404594,24.99,2.034276,0.113793,0.133739,0.149850,1.353795,0.510817,0.307882
360,0.304050,25.65,2.634651,0.098042,0.119261,0.142535,1.556048,0.768528,0.462304
370,0.393053,26.38,2.809438,0.095866,0.120330,0.125192,1.745721,0.731221,0.484092
380,0.465596,27.01,5.906332,0.100691,0.120622,0.130955,3.664951,1.324597,0.699104
390,0.491735,27.77,3.727884,0.106918,0.129378,0.144344,2.383140,0.933112,0.491353
400,0.431427,28.44,3.441762,0.122282,0.155829,0.160586,1.942762,1.011099,0.579167
410,0.397301,29.25,2.712528,0.106410,0.130393,0.141844,1.605566,0.643587,0.344781
420,0.257516,30.06,1.861469,0.100756,0.122935,0.125022,1.172706,0.527795,0.316024
430,0.368555,30.75,2.075106,0.104736,0.129339,0.140803,1.285577,0.502070,0.250628
440,0.310949,31.48,3.241609,0.095131,0.116693,0.125313,1.810367,0.752829,0.338090
450,0.367427,32.21,2.329312,0.095173,0.118328,0.122181,1.420695,0.673584,0.423783
460,0.148353,32.85,3.303434,0.096371,0.115494,0.132464,2.117012,1.102040,0.622426
470,0.225545,33.65,3.619213,0.095318,0.120111,0.135718,2.165837,0.826998,0.513532
480,0.367070,34.34,2.079006,0.099215,0.114461,0.129700,1.274995,0.540443,0.324291
490,0.203442,34.95,2.543078,0.109944,0.135859,0.143384,1.452533,0.578182,0.433480
500,0.318295,35.61,2.065798,0.119484,0.146843,0.161623,1.194293,0.429064,0.295479
510,0.176701,36.26,2.273223,0.096563,0.118415,0.130537,1.377776,0.894251,0.467490
520,0.300344,37.04,2.080010,0.096673,0.118455,0.131805,1.289175,0.540544,0.354669
530,0.474076,37.69,5.113922,0.090454,0.109964,0.147125,3.157934,1.309590,0.949168
540,0.397691,38.41,2.872453,0.098898,0.119281,0.129118,1.758685,0.676979,0.490483
550,0.396788,39.01,4.482875,0.081720,0.095637,0.098155,2.732827,1.054577,0.557785
560,0.347241,39.66,3.727396,0.093528,0.118923,0.132766,2.247913,0.918388,0.448698
570,0.210928,40.42,2.831134,0.086466,0.100729,0.111737,1.821693,0.681571,0.411509
580,0.266500,41.29,2.308260,0.097255,0.114990,0.121568,1.280192,0.662650,0.396463
590,0.314908,42.01,3.350024,0.122501,0.156942,0.161445,1.969249,0.826380,0.442383
600,0.324456,42.49,6.018370,0.105584,0.127473,0.138171,3.903908,1.380294,0.793700
610,0.359997,43.20,6.850136,0.101871,0.120674,0.133570,4.013082,1.284269,0.815209
620,0.361783,43.93,6.961885,0.117068,0.146069,0.151971,3.737849,1.539677,0.950806
630,0.244684,44.82,3.900972,0.101813,0.128844,0.129101,2.315486,0.945706,0.477330
640,0.321753,45.38,2.703144,0.112434,0.132947,0.148182,1.679853,0.818847,0.472325
650,0.293741,46.05,2.764887,0.108553,0.139805,0.158927,1.641388,0.756298,0.487859
660,0.268483,46.69,2.796294,0.102068,0.128014,0.148189,1.736625,0.688107,0.439880
670,0.306719,47.38,1.497729,0.100088,0.125214,0.133293,0.849633,0.447590,0.265522
680,0.201889,48.19,1.439818,0.101836,0.124277,0.139249,0.905235,0.422143,0.291914
690,0.275064,48.94,1.555153,0.107598,0.127443,0.140303,0.923232,0.424343,0.323633
700,0.270085,49.59,1.951167,0.111201,0.140380,0.153975,1.282467,0.525580,0.346736
710,0.234936,50.33,2.028451,0.085589,0.100004,0.101981,1.236871,0.545245,0.379321
720,0.239174,51.03,1.691594,0.082209,0.102598,0.117216,0.930848,0.499409,0.363840
730,0.311249,51.69,1.777893,0.102018,0.123904,0.138596,1.038904,0.512101,0.333136
740,0.296016,52.38,1.687416,0.106425,0.126147,0.141072,0.929259,0.446368,0.315100
750,0.150654,52.92,1.475807,0.086779,0.112307,0.119951,0.844606,0.406396,0.304147
760,0.107347,53.57,1.964563,0.108947,0.139220,0.148858,1.214986,0.660447,0.474514
770,0.250711,54.32,1.210973,0.117405,0.150943,0.160288,0.803921,0.341463,0.231716
780,0.157306,54.96,2.058420,0.088690,0.109967,0.117055,1.119469,0.576716,0.412274
790,0.285252,55.75,1.587904,0.117979,0.150707,0.161021,0.947444,0.410300,0.286921
