step,loss,time_seconds
0,5.233367,0.08
1,4.713060,0.13
2,3.777215,0.18
3,3.772091,0.24
4,3.451166,0.34
5,3.056753,0.40
6,2.964534,0.45
7,3.091827,0.49
8,3.033625,0.56
9,2.765598,0.65
10,2.780541,0.73
11,2.642684,0.82
12,2.490608,0.88
13,2.521360,0.96
14,2.427540,1.02
15,2.238251,1.07
16,2.366670,1.14
17,2.280219,1.22
18,2.042935,1.25
19,2.295888,1.30
20,2.177819,1.38
21,2.120669,1.47
22,1.962642,1.51
23,2.007038,1.54
24,2.057312,1.60
25,1.984740,1.67
26,1.895581,1.73
27,1.851380,1.77
28,2.081949,1.84
29,1.973432,1.92
30,2.079828,1.97
31,1.849986,2.07
32,1.914267,2.16
33,1.895082,2.23
34,1.833808,2.32
35,1.790909,2.40
36,1.696276,2.47
37,1.738500,2.51
38,1.592807,2.54
39,1.732628,2.63
40,1.867950,2.68
41,1.577969,2.73
42,1.524265,2.78
43,1.618080,2.85
44,1.699264,2.95
45,1.635011,3.01
46,1.644191,3.08
47,1.646057,3.11
48,1.598241,3.15
49,1.551033,3.21
50,1.644817,3.27
51,1.415352,3.35
52,1.393922,3.45
53,1.517949,3.54
54,1.613379,3.60
55,1.492692,3.69
56,1.491009,3.77
57,1.619881,3.86
58,1.423692,3.95
59,1.459918,4.06
60,1.326801,4.12
61,1.542509,4.19
62,1.408660,4.28
63,1.464629,4.36
64,1.331068,4.47
65,1.417466,4.54
66,1.346406,4.61
67,1.465282,4.73
68,1.218521,4.82
69,1.413296,4.89
70,1.277941,4.98
71,1.183435,5.04
72,1.577391,5.08
73,1.241558,5.15
74,1.262255,5.22
75,1.302399,5.28
76,1.229953,5.32
77,1.357167,5.39
78,1.141676,5.50
79,1.372044,5.56
80,0.937001,5.61
81,1.144790,5.67
82,1.192336,5.71
83,1.277812,5.78
84,1.204653,5.89
85,1.291750,5.97
86,1.333353,6.02
87,1.199474,6.09
88,1.213983,6.16
89,1.031714,6.22
90,1.112538,6.31
91,1.114872,6.38
92,1.271667,6.43
93,1.206375,6.49
94,1.022702,6.53
95,1.092958,6.57
96,1.075137,6.66
97,1.391651,6.71
98,1.176647,6.79
99,1.104702,6.83
100,1.138216,6.95
101,1.078510,7.02
102,1.077817,7.06
103,1.043825,7.12
104,1.096403,7.19
105,1.055446,7.27
106,1.109634,7.37
107,1.024480,7.43
108,0.904819,7.52
109,0.989573,7.58
110,1.040606,7.64
111,0.849571,7.68
112,1.047979,7.79
113,1.003202,7.91
114,1.093571,8.02
115,1.114023,8.08
116,0.950906,8.17
117,0.896763,8.24
118,1.032406,8.32
119,0.956592,8.42
120,0.974521,8.50
121,0.927853,8.55
122,0.917851,8.58
123,0.875644,8.64
124,0.970783,8.74
125,0.989180,8.81
126,0.772243,8.86
127,1.018249,8.96
128,1.052026,9.04
129,0.900339,9.12
130,0.982895,9.21
131,1.103163,9.30
132,0.940816,9.40
133,0.845638,9.46
134,1.297887,9.51
135,0.835271,9.57
136,0.833770,9.64
137,1.062184,9.69
138,0.943123,9.78
139,0.984597,9.82
140,0.966657,9.90
141,0.930000,9.98
142,0.842266,10.02
143,0.899103,10.10
144,0.855074,10.20
145,0.837885,10.25
146,0.803394,10.32
147,0.783371,10.38
148,0.842192,10.44
149,0.838892,10.52
150,0.842344,10.60
151,0.865617,10.69
152,0.793058,10.73
153,0.873053,10.80
154,0.753974,10.89
155,0.807321,10.94
156,0.662079,11.01
157,0.715228,11.09
158,0.903250,11.15
159,0.931185,11.21
160,0.784624,11.26
161,0.822751,11.33
162,0.836173,11.39
163,0.757929,11.45
164,0.860942,11.55
165,0.809728,11.61
166,0.639001,11.67
167,0.749195,11.75
168,0.725853,11.83
169,0.777096,11.88
170,0.818448,11.96
171,0.700736,12.02
172,0.670943,12.07
173,0.792234,12.16
174,0.976251,12.24
175,0.933992,12.32
176,0.712941,12.40
177,0.607385,12.46
178,0.621025,12.50
179,0.889174,12.57
180,0.728665,12.67
181,0.671559,12.75
182,0.785532,12.81
183,0.688568,12.87
184,0.686829,12.96
185,0.694655,13.03
186,0.665697,13.12
187,0.739401,13.17
188,0.733895,13.24
189,0.668683,13.31
190,0.530264,13.38
191,0.767710,13.46
192,0.713713,13.55
193,0.799015,13.62
194,0.658254,13.69
195,0.657244,13.79
196,0.688787,13.85
197,0.699965,13.96
198,0.564409,14.05
199,0.769362,14.12
200,0.674783,14.21
201,0.613854,14.28
202,0.756283,14.35
203,0.608758,14.43
