step,loss,time_seconds
0,4.323026,0.07
1,3.307737,0.12
2,3.484300,0.16
3,3.002612,0.23
4,3.056808,0.26
5,2.890680,0.32
6,2.683000,0.42
7,2.519737,0.49
8,2.475235,0.56
9,2.275362,0.62
10,2.466409,0.67
11,2.260073,0.73
12,2.202258,0.83
13,2.145574,0.93
14,2.321501,1.01
15,1.924039,1.09
16,1.938665,1.17
17,1.924996,1.25
18,1.965490,1.33
19,1.845562,1.41
20,1.854787,1.49
21,1.849939,1.58
22,1.874188,1.65
23,1.721506,1.72
24,1.747636,1.77
25,1.615915,1.86
26,1.512467,1.90
27,1.481704,1.99
28,1.607200,2.07
29,1.523775,2.16
30,1.589296,2.28
31,1.504771,2.37
32,1.423088,2.41
33,1.501199,2.48
34,1.512778,2.54
35,1.208398,2.59
36,1.531289,2.67
37,1.399733,2.78
38,1.429507,2.79
39,1.511631,2.83
40,1.343291,2.89
41,1.401137,2.95
42,1.428978,3.04
43,1.547465,3.13
44,1.325711,3.20
45,1.400162,3.27
46,1.283814,3.35
47,1.331011,3.45
48,1.319305,3.56
49,1.412455,3.65
50,1.375484,3.69
51,1.374449,3.76
52,1.325497,3.89
53,1.334758,3.99
54,1.334772,4.10
55,1.115825,4.18
56,1.271528,4.22
57,1.257958,4.28
58,1.265386,4.32
59,1.176489,4.40
60,1.181901,4.49
61,1.216870,4.57
62,1.190327,4.65
63,1.157138,4.73
64,1.137820,4.81
65,1.060501,4.92
66,1.180893,4.98
67,1.050625,5.06
68,1.217365,5.13
69,1.079206,5.24
70,1.110029,5.30
71,1.138137,5.37
72,1.199559,5.43
73,1.367503,5.51
74,1.089083,5.53
75,1.167337,5.57
76,1.138751,5.68
77,1.118599,5.76
78,1.251494,5.83
79,1.132088,5.96
80,1.061254,6.03
81,1.086180,6.08
82,0.993809,6.17
83,0.995986,6.25
84,0.935269,6.32
85,1.092069,6.41
86,0.904869,6.48
87,1.063368,6.52
88,0.945826,6.62
89,0.856800,6.69
90,0.927248,6.81
91,1.285179,6.86
92,1.068670,6.93
93,0.897479,7.04
94,0.913809,7.16
95,1.079843,7.21
96,1.120905,7.27
97,1.111613,7.35
98,1.065116,7.38
99,0.948557,7.42
100,0.919357,7.52
101,0.994003,7.62
102,0.950236,7.70
103,1.084049,7.79
104,0.963958,7.86
105,0.966936,7.90
106,0.896762,8.02
107,0.940773,8.10
108,0.851267,8.14
109,0.853719,8.19
110,1.082839,8.27
111,0.838533,8.34
112,1.033589,8.42
113,0.870307,8.48
114,0.884677,8.55
115,0.859769,8.65
116,0.833980,8.72
117,0.848194,8.81
118,0.918888,8.89
119,0.788786,8.99
120,0.750248,9.07
121,0.976930,9.15
122,0.965399,9.20
123,0.777727,9.29
124,0.937542,9.35
125,0.694803,9.44
126,0.709260,9.49
127,1.030179,9.57
128,0.971377,9.62
129,0.787521,9.68
130,0.913134,9.75
131,0.828129,9.80
132,0.801647,9.88
133,0.774401,9.97
134,0.807090,10.04
135,0.842712,10.10
136,0.858714,10.16
137,0.778831,10.29
138,0.663990,10.35
139,0.702907,10.40
140,0.689855,10.45
141,0.643257,10.50
142,0.731151,10.57
143,0.913625,10.65
144,0.867930,10.73
145,0.714365,10.80
146,0.904136,10.89
147,0.883259,11.01
148,0.656638,11.06
149,0.870424,11.13
150,0.681382,11.22
151,0.730537,11.30
152,0.712589,11.36
153,0.686928,11.41
154,0.664245,11.46
155,0.803636,11.55
156,0.708270,11.61
157,0.815291,11.73
158,0.874125,11.85
159,0.689838,11.90
160,0.668982,11.99
161,0.525814,12.02
162,0.661629,12.13
163,0.877167,12.22
164,0.692147,12.29
165,0.734421,12.37
166,0.846051,12.49
167,0.759448,12.59
168,0.595098,12.68
169,0.622546,12.74
170,0.634759,12.84
171,0.656614,12.88
172,0.659631,12.98
173,0.636282,13.06
174,0.701307,13.12
175,0.641669,13.20
176,0.616897,13.30
177,0.735612,13.36
178,0.637387,13.45
179,0.517041,13.53
180,0.607361,13.64
181,0.575353,13.71
182,0.589727,13.77
183,0.613141,13.87
184,0.620822,13.92
185,0.610206,14.08
186,0.565848,14.16
187,0.523723,14.27
188,0.535034,14.34
189,0.608552,14.36
190,0.562227,14.47
191,0.560009,14.51
192,0.819932,14.57
193,0.697735,14.64
194,0.656667,14.74
195,0.592240,14.82
196,0.446894,14.89
197,0.518112,14.94
198,0.566174,15.01
199,0.593453,15.12
200,0.458952,15.16
201,0.567769,15.26
202,0.481163,15.34
203,0.504021,15.43
204,0.768265,15.47
205,0.615438,15.57
206,0.636012,15.63
207,0.516249,15.68
208,0.585134,15.76
209,0.748878,15.85
210,0.606816,15.94
211,0.560807,16.00
212,0.456051,16.07
213,0.686111,16.12
214,0.591093,16.20
215,0.575908,16.28
216,0.507177,16.36
217,0.696709,16.40
218,0.564506,16.45
219,0.668034,16.53
220,0.548874,16.62
221,0.529974,16.68
222,0.476103,16.74
223,0.575327,16.83
224,0.634479,16.92
225,0.528069,17.02
226,0.766134,17.07
227,0.521600,17.12
228,0.469906,17.18
229,0.590712,17.25
230,0.547491,17.34
231,0.470911,17.39
232,0.606727,17.45
233,0.654326,17.50
234,0.570649,17.55
235,0.520613,17.62
236,0.493051,17.69
237,0.434053,17.74
238,0.503134,17.85
239,0.394935,17.89
240,0.524904,17.97
241,0.549774,18.05
242,0.508835,18.14
243,0.584585,18.20
244,0.455766,18.29
245,0.338482,18.33
246,0.506535,18.39
247,0.574311,18.46
248,0.496346,18.51
249,0.513148,18.65
250,0.567624,18.72
251,0.419904,18.83
252,0.432073,18.88
