step,loss,time_seconds
0,4.569736,0.08
1,4.121049,0.14
2,3.660620,0.19
3,3.534159,0.23
4,3.081296,0.28
5,3.013897,0.33
6,2.790695,0.39
7,2.622396,0.45
8,2.438984,0.52
9,2.455898,0.58
10,2.381547,0.62
11,2.283575,0.68
12,2.261180,0.76
13,1.941325,0.79
14,2.077732,0.84
15,1.970729,0.86
16,1.888874,0.91
17,1.770870,0.94
18,1.778758,1.01
19,1.796067,1.05
20,1.825532,1.09
21,1.763243,1.11
22,1.840987,1.16
23,1.621686,1.19
24,1.850646,1.25
25,1.592568,1.32
26,1.653808,1.38
27,1.558878,1.44
28,1.406393,1.49
29,1.423545,1.55
30,1.601863,1.59
31,1.374898,1.66
32,1.550432,1.75
33,1.480890,1.79
34,1.442578,1.86
35,1.453581,1.91
36,1.535299,1.95
37,1.391541,2.01
38,1.335734,2.06
39,1.503752,2.10
40,1.410034,2.17
41,1.365817,2.21
42,1.536171,2.25
43,1.331026,2.30
44,1.372679,2.36
45,1.198360,2.39
46,1.425732,2.44
47,1.176660,2.50
48,1.370271,2.53
49,1.200377,2.57
50,1.115636,2.62
51,1.251564,2.67
52,1.244936,2.69
53,1.221136,2.73
54,1.069084,2.77
55,1.100812,2.82
56,1.315478,2.85
57,1.205454,2.90
58,1.075204,2.96
59,1.055735,3.03
60,1.119553,3.07
61,1.084832,3.12
62,1.233227,3.17
63,1.072674,3.20
64,1.146338,3.23
65,1.064274,3.32
66,0.967656,3.37
67,0.999418,3.42
68,1.014923,3.47
69,1.066273,3.53
70,0.952676,3.59
71,1.157928,3.65
72,0.960175,3.70
73,0.883281,3.73
74,0.895480,3.78
75,0.953623,3.85
76,1.024748,3.88
77,0.963614,3.93
78,0.968468,4.00
79,0.894340,4.07
80,0.951853,4.11
81,1.046028,4.14
82,1.000710,4.19
83,0.950067,4.25
84,0.924308,4.30
85,0.931611,4.33
86,0.810458,4.37
87,0.976935,4.45
88,0.883870,4.50
89,0.955626,4.54
90,1.088440,4.59
91,0.874753,4.64
92,0.753494,4.68
93,0.936550,4.74
94,0.855802,4.79
95,0.935959,4.83
96,0.734693,4.87
97,0.866720,4.92
98,0.714694,4.95
99,0.898352,5.00
100,0.983610,5.04
101,0.538222,5.07
102,0.834545,5.13
103,0.743890,5.17
104,0.883636,5.23
105,0.907317,5.27
106,0.784243,5.33
107,0.790476,5.38
108,0.748300,5.44
109,0.725465,5.46
110,0.763205,5.53
111,0.506960,5.55
112,0.933980,5.62
113,0.926839,5.65
114,0.761127,5.68
115,0.950713,5.71
116,0.748892,5.76
117,0.756943,5.82
118,0.842454,5.84
119,0.710074,5.88
120,0.775944,5.92
121,0.724395,5.97
122,0.769420,6.01
123,0.727318,6.03
124,0.711766,6.10
125,0.687636,6.17
126,0.793226,6.20
127,0.820235,6.23
128,0.737490,6.27
129,0.509191,6.30
130,0.654731,6.35
131,0.632109,6.40
132,0.633147,6.46
133,0.673979,6.53
134,0.797897,6.56
135,0.837466,6.62
136,0.825532,6.66
137,0.598920,6.68
138,0.669860,6.73
139,0.726891,6.76
140,0.656147,6.82
141,0.599156,6.87
142,0.622899,6.93
143,0.665806,6.99
144,0.575970,7.03
145,0.665307,7.09
146,0.561184,7.14
147,0.499771,7.17
148,0.639350,7.20
149,0.781811,7.25
150,0.635512,7.30
151,0.659451,7.33
152,0.666543,7.38
153,0.566028,7.45
154,0.723708,7.50
155,0.637411,7.56
156,0.680290,7.61
157,0.661641,7.67
158,0.525528,7.71
159,0.728967,7.78
160,0.543104,7.83
161,0.569053,7.87
162,0.556497,7.91
163,0.658759,7.93
164,0.452049,7.99
165,0.695901,8.01
166,0.609600,8.06
167,0.605920,8.11
168,0.540974,8.15
169,0.678291,8.19
170,0.568378,8.22
171,0.666529,8.28
172,0.552320,8.31
173,0.639564,8.35
174,0.555480,8.40
175,0.491468,8.44
176,0.493619,8.50
177,0.516563,8.53
178,0.490833,8.59
179,0.627026,8.64
180,0.524615,8.69
181,0.470239,8.72
182,0.475098,8.75
183,0.498090,8.78
184,0.566437,8.85
185,0.420645,8.88
186,0.563658,8.93
187,0.508750,9.00
188,0.618461,9.02
189,0.693695,9.07
190,0.433127,9.13
191,0.497038,9.19
192,0.497662,9.23
193,0.475460,9.26
194,0.517691,9.31
195,0.537407,9.37
196,0.418101,9.42
197,0.501142,9.49
198,0.526244,9.54
199,0.527301,9.59
200,0.408218,9.63
201,0.477151,9.71
202,0.658422,9.75
203,0.484858,9.84
204,0.519209,9.90
205,0.423689,9.94
206,0.409681,9.98
207,0.434405,10.02
208,0.483336,10.07
209,0.499347,10.11
210,0.373044,10.14
211,0.606380,10.18
212,0.512802,10.23
213,0.408818,10.27
214,0.330224,10.32
215,0.445434,10.39
216,0.400366,10.45
217,0.496560,10.51
218,0.429914,10.57
219,0.469369,10.62
220,0.444447,10.70
221,0.478858,10.75
222,0.547239,10.77
223,0.340673,10.83
224,0.460191,10.90
225,0.403787,10.97
226,0.407390,11.01
227,0.392977,11.05
228,0.454198,11.10
229,0.551142,11.16
230,0.597796,11.21
231,0.258843,11.25
232,0.454767,11.33
233,0.434656,11.40
234,0.365633,11.47
235,0.468438,11.53
236,0.354334,11.55
237,0.440723,11.59
238,0.505720,11.66
239,0.362997,11.70
240,0.403123,11.73
241,0.366459,11.79
242,0.440458,11.85
243,0.516808,11.92
244,0.507087,11.95
245,0.424028,12.01
246,0.281186,12.06
247,0.514250,12.13
248,0.310496,12.17
249,0.454671,12.23
250,0.298216,12.29
