step,loss
0,5.130066
1,4.713364
2,3.927403
3,3.474840
4,3.024832
5,2.938237
6,2.748065
7,2.515539
8,2.423711
9,2.284513
10,2.374225
11,2.329214
12,2.225603
13,2.101478
14,2.067610
15,2.001668
16,2.157993
17,1.813028
18,1.878785
19,1.878245
20,1.806473
21,1.747465
22,1.599305
23,1.691200
24,1.663604
25,1.567986
26,1.667840
27,1.605541
28,1.644915
29,1.495274
30,1.578264
31,1.492860
32,1.525559
33,1.432790
34,1.324868
35,1.245814
36,1.362997
37,1.386666
38,1.353050
39,1.334820
40,1.192248
41,1.496033
42,1.380673
43,1.271781
44,1.183989
45,1.160972
46,1.133842
47,1.293692
48,1.266042
49,1.212114
50,1.386273
51,1.233713
52,1.048971
53,1.247308
54,1.101760
55,1.181105
56,1.105396
57,0.970371
58,1.280838
59,1.107465
60,1.117894
61,0.980512
62,1.032985
63,1.052730
64,0.992925
65,1.060619
66,0.927143
67,0.994362
68,1.096283
69,0.956608
70,0.979129
71,0.948842
72,0.767223
73,1.147209
74,0.942437
75,1.041516
76,0.928397
77,0.973579
78,0.878488
79,0.910979
80,0.933776
81,0.762360
82,0.671912
83,0.841479
84,0.940565
85,1.092398
86,0.702303
87,0.810002
88,0.728656
89,0.838682
90,0.577149
91,0.675502
92,0.879851
93,0.748133
94,0.726835
95,0.822408
96,0.883369
97,0.635863
98,0.813874
99,0.779450
100,0.667237
101,0.816765
102,0.711241
103,0.750433
104,0.611746
105,0.699140
106,0.633176
107,0.764515
108,0.553180
109,0.727410
110,0.760561
111,0.674924
112,0.766594
113,0.687059
114,0.665082
115,0.646157
116,0.577625
117,0.685216
118,0.589586
119,0.617382
120,0.613563
121,0.529022
122,0.621107
123,0.623722
124,0.463142
125,0.465481
126,0.650341
127,0.670705
128,0.542662
129,0.533511
130,0.699320
131,0.416522
132,0.549301
133,0.419458
134,0.592014
135,0.480089
136,0.445636
137,0.483160
138,0.728463
139,0.480758
140,0.564038
141,0.500523
142,0.582230
143,0.632057
144,0.572997
145,0.371922
146,0.501130
147,0.764623
148,0.480767
149,0.483620
150,0.601457
151,0.459166
152,0.501799
153,0.438107
154,0.424185
155,0.369229
156,0.455032
157,0.487672
158,0.443190
159,0.431546
160,0.483054
161,0.722689
162,0.483887
163,0.371421
164,0.475264
165,0.488015
166,0.428446
167,0.414359
168,0.350846
169,0.452270
170,0.544882
171,0.522721
172,0.401141
173,0.916602
174,0.534370
175,0.451336
176,0.430461
177,0.333058
178,0.389792
179,0.335870
180,0.282659
181,0.288233
182,0.329856
183,0.467280
184,0.466893
185,0.407397
186,0.509588
187,0.534312
188,0.558722
189,0.409358
190,0.523545
191,0.467797
192,0.454202
193,0.329280
194,0.450050
195,0.505006
196,0.470651
197,0.238512
198,0.366802
199,0.391359
200,0.211678
201,0.687991
202,0.332730
203,0.539277
204,0.340636
205,0.425624
206,0.267387
207,0.385268
208,0.424598
209,0.470668
210,0.342714
211,0.761340
212,0.290868
213,0.382877
214,0.298890
215,0.477124
216,0.286411
217,0.133015
218,0.340442
219,0.434209
220,0.325170
221,0.398708
222,0.422707
223,0.398925
224,0.327811
225,0.441606
226,0.340902
227,0.303649
228,0.254185
229,0.479915
230,0.313998
231,0.427014
232,0.304931
233,0.258863
234,0.378553
235,0.296298
236,0.505359
237,0.297854
238,0.292537
239,0.363537
240,0.310635
241,0.368436
242,0.372560
243,0.300830
244,0.480581
245,0.439349
246,0.327081
247,0.296150
248,0.397281
249,0.349500
250,0.285270
251,0.340052
252,0.445545
253,0.280692
254,0.343763
255,0.205166
256,0.307852
257,0.357701
258,0.491536
259,0.318865
260,0.451473
261,0.402301
262,0.255332
263,0.233715
264,0.357385
265,0.342392
266,0.322867
267,0.431082
268,0.214607
269,0.211115
270,0.396528
271,0.347313
272,0.494490
273,0.635636
274,0.338372
275,0.436176
276,0.246523
277,0.427732
278,0.368970
279,0.389133
280,0.354047
281,0.269907
282,0.261241
283,0.307220
284,0.437918
285,0.433513
286,0.386536
287,0.300653
288,0.365334
289,0.318791
290,0.329729
291,0.252894
292,0.383657
293,0.407295
294,0.287773
295,0.282447
296,0.461796
297,0.296418
298,0.241112
299,0.251636
300,0.291312
301,0.326484
302,0.342592
303,0.324656
304,0.249661
305,0.277624
306,0.237292
307,0.305601
308,0.400610
309,0.327337
310,0.355797
311,0.194229
312,0.228512
313,0.196905
314,0.311474
315,0.177841
316,0.338749
317,0.216077
318,0.167073
319,0.298227
320,0.274577
321,0.259678
322,0.343861
323,0.334663
324,0.496091
325,0.245205
326,0.206632
327,0.251285
328,0.172602
329,0.216614
330,0.307711
331,0.523957
332,0.154693
333,0.209318
334,0.189394
335,0.247974
336,0.208694
337,0.309526
338,0.186683
339,0.374580
340,0.157927
341,0.276485
342,0.228894
343,0.375322
344,0.196610
345,0.364549
346,0.485381
347,0.221137
348,0.151928
349,0.277185
350,0.188777
351,0.067489
352,0.214257
353,0.234355
354,0.234593
355,0.263621
356,0.218747
357,0.337030
358,0.101450
359,0.280664
360,0.362585
361,0.278570
362,0.282412
363,0.337150
364,0.244749
365,0.264563
366,0.258642
367,0.323876
368,0.377469
369,0.296349
370,0.263451
371,0.538382
372,0.295115
373,0.148007
374,0.261549
375,0.202589
376,0.209194
377,0.181755
378,0.285007
379,0.191192
380,0.253186
381,0.279080
382,0.298150
383,0.268318
384,0.289467
385,0.230913
386,0.233731
387,0.330916
388,0.210078
389,0.307079
390,0.323847
391,0.251306
392,0.259403
393,0.432875
394,0.270923
395,0.308197
396,0.185197
397,0.240713
398,0.224211
399,0.264075
400,0.232365
401,0.250875
402,0.144441
403,0.224856
404,0.394714
405,0.312293
406,0.183055
407,0.231923
408,0.292236
409,0.241261
410,0.217331
411,0.134299
412,0.238889
413,0.241119
414,0.254913
415,0.377929
416,0.342826
417,0.235842
418,0.242564
419,0.271690
420,0.419961
421,0.266403
422,0.219950
423,0.261356
424,0.250594
425,0.231821
426,0.245716
427,0.287229
428,0.293985
429,0.179562
430,0.263751
431,0.294723
432,0.314657
433,0.270787
434,0.156455
435,0.342540
436,0.388763
437,0.216347
438,0.218324
439,0.278194
440,0.259990
441,0.243873
442,0.315702
443,0.213206
444,0.279458
445,0.284463
446,0.224054
447,0.142779
448,0.467072
449,0.184865
450,0.215205
451,0.060386
452,0.225631
453,0.368632
454,0.343782
455,0.321700
456,0.301207
457,0.679824
458,0.240619
459,0.265104
460,0.279663
461,0.288648
462,0.193602
463,0.260264
464,0.171986
465,0.329653
466,0.243284
467,0.298580
468,0.261160
469,0.214146
470,0.219893
471,0.256327
472,0.342124
473,0.199059
474,0.208539
475,0.115725
476,0.103936
477,0.419680
