step,loss
0,5.373602
1,4.525858
2,3.761181
3,3.507361
4,3.372555
5,2.902190
6,2.887188
7,2.678521
8,2.590038
9,2.570584
10,2.554514
11,2.192001
12,2.180484
13,2.069142
14,2.001942
15,2.176261
16,2.009020
17,1.797064
18,2.134013
19,1.895932
20,1.957028
21,1.816005
22,1.582584
23,1.633860
24,1.822707
25,1.687169
26,1.581002
27,1.466412
28,1.559912
29,1.865132
30,1.562702
31,1.454621
32,1.573210
33,1.363963
34,1.382684
35,1.466873
36,1.427968
37,1.236717
38,1.319379
39,1.244942
40,1.691525
41,1.217766
42,1.186159
43,1.401183
44,1.332692
45,1.212704
46,1.208965
47,1.251078
48,1.553895
49,1.325182
50,1.120850
51,1.089070
52,1.115478
53,1.420213
54,1.163936
55,1.429742
56,1.060419
57,1.692032
58,1.233505
59,1.190086
60,1.290807
61,1.125867
62,1.083308
63,1.130764
64,1.353979
65,0.954170
66,1.176377
67,0.994083
68,0.963271
69,1.589825
70,1.067688
71,0.991669
72,1.367501
73,1.009888
74,1.041004
75,0.972060
76,0.961417
77,1.831343
78,1.247566
79,1.072329
80,1.044796
81,0.971235
82,1.962945
83,1.037904
84,0.959817
85,0.971897
86,0.960798
87,1.044795
88,1.022379
89,1.161452
90,0.951738
91,0.895005
92,0.909365
93,0.897599
94,0.914426
95,0.894209
96,0.928155
97,1.420941
98,0.819971
99,1.307978
100,1.171251
101,0.853127
102,0.913930
103,0.976813
104,1.109411
105,0.776539
106,0.900848
107,0.774099
108,0.912097
109,1.167289
110,0.709727
111,0.802598
112,0.750654
113,0.737979
114,0.777767
115,0.888039
116,0.675764
117,0.814628
118,1.447332
119,0.840477
120,0.937153
121,1.221836
122,1.218026
123,0.704965
124,0.800971
125,0.903387
126,1.146986
127,1.071023
128,0.861626
129,0.775711
130,0.687519
131,0.806152
132,0.632602
134,0.920993
135,0.736795
136,0.791161
137,0.670300
138,0.696108
139,1.182788
140,0.684395
141,0.707479
142,0.768248
143,0.866717
144,0.712824
145,0.847205
146,0.704848
147,0.671959
148,0.838774
149,0.750039
150,0.680152
151,0.738541
152,0.846866
153,0.726820
154,0.627861
155,0.758279
156,0.723943
157,0.611011
158,0.917508
159,0.764901
160,0.821054
161,0.984662
162,0.827252
163,0.592507
164,0.647935
165,0.622003
166,0.659307
167,0.601789
168,0.604255
169,0.971255
170,0.642232
171,0.630457
172,0.651404
173,0.581095
174,0.614740
175,0.601414
176,0.692571
177,0.577038
178,0.960017
180,0.541903
181,0.844982
182,0.805450
183,0.601103
184,0.658197
185,0.596921
186,0.745868
187,0.547835
188,0.893163
189,0.677742
190,0.738827
191,0.692507
192,0.748099
193,0.553945
194,0.539405
195,0.716210
196,0.596550
197,0.676200
198,0.466159
199,0.452374
200,0.785676
201,0.526157
202,0.451286
203,0.682940
204,0.584053
205,0.537025
206,0.628870
207,0.502328
208,0.545818
209,1.068053
210,0.535939
211,0.543551
212,0.491023
213,0.521874
214,0.540651
215,0.550384
216,0.577389
217,0.530286
218,0.498368
219,0.526693
220,0.687541
221,0.835338
222,0.926815
223,0.534415
224,0.599904
225,0.932967
226,0.781476
227,0.725304
228,0.598376
229,0.615245
230,0.864200
231,0.998884
232,0.562821
233,0.514842
234,0.801979
235,0.578225
236,0.664709
237,0.548104
239,0.754143
240,0.545670
241,0.934485
242,0.656115
243,0.538346
244,0.595750
245,0.647619
246,0.605597
247,0.689537
248,0.976243
249,0.614437
250,0.524156
251,0.512473
252,0.545936
253,0.466585
254,0.588778
255,0.765598
