step,loss,time_seconds
0,6.033019,0.05
1,4.833414,0.12
2,4.732770,0.15
3,3.744660,0.22
4,3.156087,0.27
5,3.185651,0.31
6,2.992375,0.35
7,2.879206,0.37
8,2.573846,0.42
9,2.322496,0.47
10,2.321076,0.53
11,1.917674,0.58
12,1.858862,0.64
13,1.945986,0.68
14,1.868203,0.73
15,1.805655,0.80
16,1.638416,0.87
17,1.546208,0.92
18,1.646988,0.96
19,1.569480,1.02
20,1.827161,1.08
21,1.380813,1.15
22,1.616554,1.17
23,1.677623,1.18
24,1.275278,1.22
25,1.242708,1.26
26,1.243715,1.31
27,1.606245,1.36
28,1.545792,1.41
29,1.404649,1.46
30,1.191903,1.50
31,1.451216,1.54
32,1.332085,1.56
33,1.156460,1.63
34,1.436829,1.66
35,0.956060,1.68
36,1.040635,1.73
37,1.005298,1.82
38,1.105674,1.85
39,1.062792,1.90
40,0.971502,1.95
41,1.070029,2.01
42,1.090678,2.07
43,1.150409,2.14
44,0.889738,2.19
45,0.826821,2.22
46,0.916159,2.27
47,0.923060,2.33
48,0.766127,2.36
49,0.795027,2.40
50,1.100677,2.46
51,0.843413,2.52
52,0.847112,2.57
53,1.155302,2.61
54,0.678944,2.66
55,0.892924,2.70
56,1.132727,2.76
57,0.765258,2.81
58,0.793358,2.85
59,0.796834,2.91
60,0.913221,2.95
61,0.720499,2.99
62,0.771050,3.03
63,0.859239,3.07
64,0.800056,3.11
65,0.828582,3.16
66,0.932003,3.22
67,0.843373,3.27
68,0.894736,3.33
69,0.660945,3.37
70,0.655956,3.44
71,0.744767,3.49
72,0.971560,3.52
73,0.675561,3.56
74,0.675917,3.60
75,0.759281,3.65
76,0.641609,3.70
77,0.760930,3.77
78,0.680110,3.81
79,0.626798,3.85
80,0.668809,3.90
81,0.548217,3.95
82,0.549179,4.00
83,0.526039,4.06
84,0.586610,4.11
85,0.584649,4.15
86,0.405594,4.19
87,0.571130,4.22
88,0.620765,4.26
89,0.471972,4.29
90,0.561994,4.33
91,0.539880,4.39
92,0.350586,4.40
93,0.573716,4.47
94,0.635243,4.51
95,0.568848,4.55
96,0.599414,4.60
97,0.599489,4.65
98,0.597815,4.68
99,0.553620,4.73
100,0.619805,4.76
101,0.544817,4.81
102,0.548913,4.87
103,0.427684,4.91
104,0.475555,4.94
105,0.619016,4.96
106,0.506068,5.00
107,0.524346,5.03
108,0.469264,5.09
109,0.483017,5.14
110,0.521674,5.17
111,0.512681,5.22
112,0.448757,5.28
113,0.511802,5.33
114,0.474687,5.40
115,0.530216,5.45
116,0.452427,5.50
117,0.553443,5.53
118,0.787384,5.56
119,0.482526,5.60
120,0.454410,5.66
121,0.598923,5.69
122,0.500769,5.76
123,0.492896,5.81
124,0.504871,5.87
125,0.537856,5.91
126,0.514659,5.99
127,0.297201,6.01
128,0.290895,6.05
129,0.285165,6.09
130,0.461475,6.12
131,0.518027,6.14
132,0.456161,6.18
133,0.527191,6.23
134,0.377087,6.26
135,0.368010,6.32
136,0.387524,6.39
137,0.440470,6.45
138,0.582504,6.49
139,0.369475,6.54
140,0.399898,6.58
141,0.415373,6.63
142,0.492104,6.66
143,0.260288,6.71
144,0.444011,6.75
145,0.309395,6.79
146,0.453559,6.84
147,0.361601,6.88
148,0.336476,6.94
149,0.348661,6.99
150,0.427486,7.02
151,0.340664,7.06
152,0.255265,7.10
153,0.336121,7.15
154,0.242894,7.19
155,0.315901,7.23
156,0.394259,7.27
157,0.431125,7.32
158,0.460115,7.37
159,0.407249,7.42
160,0.401285,7.47
161,0.296234,7.50
162,0.402068,7.54
163,0.355542,7.57
164,0.208751,7.61
165,0.376999,7.66
166,0.269922,7.70
167,0.176995,7.71
168,0.358724,7.77
169,0.419726,7.83
170,0.423807,7.89
171,0.362855,7.97
172,0.370192,8.04
173,0.372432,8.08
174,0.413889,8.13
175,0.428665,8.16
176,0.304237,8.20
177,0.414913,8.24
178,0.431303,8.29
179,0.436639,8.35
180,0.431967,8.37
181,0.336370,8.43
182,0.432119,8.50
183,0.347623,8.55
184,0.280814,8.60
185,0.223329,8.64
186,0.367286,8.70
187,0.291865,8.74
188,0.302628,8.78
189,0.338974,8.86
190,0.302504,8.90
191,0.217374,8.95
192,0.267867,9.00
193,0.398019,9.04
194,0.435507,9.08
195,0.324222,9.12
196,0.298756,9.15
197,0.301619,9.18
198,0.313406,9.25
199,0.320290,9.29
200,0.245453,9.34
201,0.271843,9.39
202,0.350366,9.45
203,0.258183,9.50
204,0.215535,9.55
205,0.335040,9.62
206,0.302759,9.67
207,0.386621,9.72
208,0.265649,9.77
209,0.224592,9.82
210,0.298912,9.88
211,0.274941,9.92
212,0.310949,9.98
213,0.261498,10.04
214,0.359914,10.10
215,0.364059,10.17
216,0.286135,10.23
217,0.231405,10.27
218,0.242017,10.32
219,0.208502,10.35
220,0.271363,10.41
221,0.285532,10.45
222,0.161426,10.48
223,0.204827,10.53
224,0.300208,10.58
225,0.308813,10.63
226,0.192705,10.66
227,0.380740,10.68
228,0.398047,10.72
229,0.388183,10.78
230,0.276378,10.82
231,0.166940,10.86
232,0.286601,10.92
233,0.228934,10.97
